commander	OK	install_ok	require_ok
cosmiconfig	OK	install_ok	require_ok
update-notifier	REQUIRE_FAIL	install_ok	exit2
boxen	REQUIRE_FAIL	install_ok	exit2
chalk	REQUIRE_FAIL	install_ok	exit2
figlet	REQUIRE_FAIL	install_ok	exit2
cli-table3	OK	install_ok	require_ok
enquirer	OK	install_ok	require_ok
knex	INSTALL_FAIL	exit1	-
mysql2	OK	install_ok	require_ok
pg	REQUIRE_FAIL	install_ok	exit2
redis	REQUIRE_FAIL	install_ok	exit2
ioredis	OK	install_ok	require_ok
csv-parse	OK	install_ok	require_ok
csv-stringify	OK	install_ok	require_ok
xml2js	OK	install_ok	require_ok
fast-xml-parser	OK	install_ok	require_ok
papaparse	OK	install_ok	require_ok
cheerio	INSTALL_FAIL	exit1	-
bcrypt	INSTALL_FAIL	exit99	-
bcryptjs	OK	install_ok	require_ok
jose	REQUIRE_FAIL	install_ok	exit2
jsonwebtoken	OK	install_ok	require_ok
archiver	REQUIRE_FAIL	install_ok	exit2
tar	REQUIRE_FAIL	install_ok	exit2
extract-zip	OK	install_ok	require_ok
unzipper	OK	install_ok	require_ok
tar-stream	OK	install_ok	require_ok
