topic	file	result	exit	time_ms	message
assert	external/node-tests/test/parallel/test-assert-async.js	fail	1	29601	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-assert-async.js:35: SyntaxError: async functions are not enabled in the parser | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1: muta
assert	external/node-tests/test/parallel/test-assert-checktag.js	fail	1	779	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-assert-checktag.js:15: TypeError: test is not a function
assert	external/node-tests/test/parallel/test-assert-class-destructuring.js	fail	1	12345	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-assert-class-destructuring.js:23: SyntaxError: expected expression, got ')' | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1: mutatin
assert	external/node-tests/test/parallel/test-assert-class.js	fail	1	24552	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-assert-class.js:166: SyntaxError: identifier starts immediately after numeric literal | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:
assert	external/node-tests/test/parallel/test-assert-deep-with-error.js	fail	1	10133	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-assert-deep-with-error.js:22: SyntaxError: expected expression, got ')' | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1: mutating th
assert	external/node-tests/test/parallel/test-assert-deep.js	timeout	1	59561	30s timeout
assert	external/node-tests/test/parallel/test-assert-esm-cjs-message-verify.js	pass	0	24841	
assert	external/node-tests/test/parallel/test-assert-fail.js	fail	1	391	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-assert-fail.js:7: TypeError: test is not a function
assert	external/node-tests/test/parallel/test-assert-first-line.js	fail	1	390	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-assert-first-line.js:10: TypeError: test is not a function
assert	external/node-tests/test/parallel/test-assert-if-error.js	fail	1	389	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-assert-if-error.js:7: TypeError: test is not a function
assert	external/node-tests/test/parallel/test-assert-myers-diff.js	fail	1	396	<ionpower-node internal>:2: Error: require: cannot find module 'internal/assert/myers_diff' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
assert	external/node-tests/test/parallel/test-assert-partial-deep-equal.js	timeout	1	38544	30s timeout
assert	external/node-tests/test/parallel/test-assert-typedarray-deepequal.js	fail	1	389	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-assert-typedarray-deepequal.js:14: TypeError: suite is not a function
buffer	external/node-tests/test/parallel/test-buffer-alloc-unsafe-is-initialized-with-zero-fill-flag.js	skip	0	366	
buffer	external/node-tests/test/parallel/test-buffer-alloc-unsafe-is-uninitialized.js	skip	0	360	
buffer	external/node-tests/test/parallel/test-buffer-alloc.js	timeout	1	37565	30s timeout
buffer	external/node-tests/test/parallel/test-buffer-arraybuffer.js	fail	1	388	:0: AssertionError: undefined !== [object ArrayBuffer]
buffer	external/node-tests/test/parallel/test-buffer-ascii.js	fail	1	393	:0: AssertionError: h̩rit̩ !== hC)ritC)
buffer	external/node-tests/test/parallel/test-buffer-backing-arraybuffer.js	fail	1	396	<ionpower-node internal>:2: Error: require: cannot find module 'internal/test/binding' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
buffer	external/node-tests/test/parallel/test-buffer-badhex.js	fail	1	387	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-badhex.js:10: TypeError: buf.write is not a function
buffer	external/node-tests/test/parallel/test-buffer-bigint64.js	fail	1	8497	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-bigint64.js:9: SyntaxError: identifier starts immediately after numeric literal | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js
buffer	external/node-tests/test/parallel/test-buffer-bytelength.js	fail	1	397	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-compare-offset.js	fail	1	391	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-compare-offset.js:9: TypeError: a.compare is not a function
buffer	external/node-tests/test/parallel/test-buffer-compare.js	fail	1	388	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-compare.js:11: TypeError: b.compare is not a function
buffer	external/node-tests/test/parallel/test-buffer-concat.js	fail	1	403	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-constants.js	fail	1	390	:0: AssertionError: undefined !== number
buffer	external/node-tests/test/parallel/test-buffer-constructor-deprecation-error.js	fail	1	387	mustCall: expected 1 calls, got 0
buffer	external/node-tests/test/parallel/test-buffer-constructor-node-modules-paths.js	fail	1	390	<ionpower-node bootstrap>:877: Error: spawnSync: file string required
buffer	external/node-tests/test/parallel/test-buffer-constructor-node-modules.js	fail	1	18416	/Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1: mutating the [[Prototype]] of an object will cause your code to run very slowly; instead create the object with the correct initial [[Prototype]] value using Object.create | <ionpower
buffer	external/node-tests/test/parallel/test-buffer-constructor-outside-node-modules.js	fail	1	396	mustCall: expected 1 calls, got 0
buffer	external/node-tests/test/parallel/test-buffer-copy.js	fail	1	430	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-equals.js	fail	1	525	:0: AssertionError
buffer	external/node-tests/test/parallel/test-buffer-failed-alloc-typed-arrays.js	pass	0	11456	
buffer	external/node-tests/test/parallel/test-buffer-fakes.js	fail	1	389	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-fakes.js:7: mutating the [[Prototype]] of an object will cause your code to run very slowly; instead create the object with the correct
buffer	external/node-tests/test/parallel/test-buffer-fill.js	fail	1	401	<ionpower-node internal>:2: Error: require: cannot find module 'internal/errors' from '/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel'
buffer	external/node-tests/test/parallel/test-buffer-from.js	fail	1	21218	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-from.js:47: SyntaxError: identifier starts immediately after numeric literal | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js:1:
buffer	external/node-tests/test/parallel/test-buffer-generic-methods.js	fail	1	26161	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-generic-methods.js:834: SyntaxError: identifier starts immediately after numeric literal | /Users/macuser/tmp/ionpower-node/test/vendor
buffer	external/node-tests/test/parallel/test-buffer-includes.js	fail	1	393	:0: AssertionError: assert failed
buffer	external/node-tests/test/parallel/test-buffer-indexof.js	fail	1	407	:0: AssertionError: 0 !== -1
buffer	external/node-tests/test/parallel/test-buffer-inheritance.js	pass	0	399	
buffer	external/node-tests/test/parallel/test-buffer-inspect.js	fail	1	393	:0: AssertionError: Uint8Array(4) [ 210, 210, 210, 210 ] !== <Buffer 31 32 ... 2 more bytes>
buffer	external/node-tests/test/parallel/test-buffer-isascii.js	fail	1	8227	/Users/macuser/tmp/ionpower-node/scripts/conformance/../../external/node-tests/test/parallel/test-buffer-isascii.js:19: SyntaxError: identifier starts immediately after numeric literal | /Users/macuser/tmp/ionpower-node/test/vendor/babel.js
buffer	external/node-tests/test/parallel/test-buffer-isencoding.js	fail	1	388	:0: AssertionError: false !== true
